Date,Open,High,Low,Close,Ticks,Volume,Spread,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
2016.02.01,41675,44265,41590,43260,1602750,4192212,5,,,,,,,,,,
2016.03.01,43780,52515,43640,50310,5134364,12458158,5,,,,,,,,,,
2016.04.01,49945,55850,47930,54550,3794340,8996355,5,,,,,,,,,,
2016.05.01,54800,54990,48515,48610,4239088,10111720,5,,,,,,,,,,
2016.06.01,48500,53065,48195,52180,4716649,12204744,5,,,,,,,,,,
2016.07.01,52385,57850,51520,57845,4263068,11630097,5,,,,,,,,,,
2016.08.01,57560,60610,55970,58260,5149705,14555185,5,,,,,,,,,,
2016.09.01,58595,61050,57005,58570,4714651,13109131,5,,,,,,,,,,
2016.10.01,58805,66015,58530,65980,4903085,14578686,5,,,,,,,,,,
2016.11.01,66200,66320,58845,62250,6948054,19612457,5,,,,,,,,,,
2016.12.01,61970,62200,57805,61040,5729558,16418814,5,,,,,,,,,,
2017.01.01,60890,67150,60205,64960,4738009,15468992,5,,,,,,,,,,
2017.02.01,65170,70480,63835,67530,4231154,15094458,5,,,,,,,,,,
2017.03.01,68215,68375,62630,65135,6509647,22381586,5,,,,,,,,,,
2017.04.01,65385,66325,63340,66200,4902542,17394174,5,,,,,,,,,,
2017.05.01,66500,69440,57780,62915,6366188,21686380,5,,,,,,,,,,
2017.06.01,63000,63810,61280,63500,6041449,20723087,5,,,,,,,,,,
2017.07.01,63750,66290,62615,65955,4976452,18102721,5,,,,,,,,,,
2017.08.01,66300,72315,66185,71320,6357721,25786786,5,,,,,,,,,,
2017.09.01,71650,76915,71635,74605,7058857,29562051,5,,,,,,,,,,
2017.10.01,74845,78270,74050,74750,9001491,35633551,5,,,,,,,,,,
2017.11.01,75325,75815,71010,71930,9815264,34539190,5,,,,,,,,,,
2017.12.01,71735,76970,71265,76785,9471706,33510009,5,,,,,,,,,,
2018.01.01,77040,86400,76980,85250,10424444,37952648,5,,,,,,,,,,
2018.02.01,85450,89155,79650,86030,12700251,44085521,5,,,,,,,,,,
2018.03.01,85800,87975,83135,85800,15484930,57030043,5,,,,,,,,,,
2018.04.01,85410,87785,82630,86260,14775800,55011769,5,,,,,,,,,,
2018.05.01,86130,87070,74815,77280,17357989,60531945,5,,,,,,,,,,
2018.06.01,77580,78945,69225,72805,19656744,61349103,5,,,,,,,,,,
2018.07.01,72400,80715,72170,79300,14678111,47124769,5,,,,,,,,,,
2018.08.01,79195,82095,74840,77150,18101142,60001806,5,,,,,,,,,,
2018.09.01,77195,80380,74435,79350,14953051,49461933,5,,,,,,,,,,
2018.10.01,79515,90400,78210,87700,25209569,81105428,5,,,,,,,,,,
2018.11.01,88660,90475,84415,89605,22761743,73446718,5,,,,,,,,,,
2018.12.01,91450,91825,84410,88205,22143952,77398433,5,,,,,,,,,,
2019.01.01,87800,98640,87585,97730,27993183,102948770,5,,,,,,,,,,
2019.02.01,97460,99445,93440,95950,33976872,121149149,5,,,,,,,,,,
2019.03.01,96500,100930,90405,95340,33373888,111741472,5,,,,,,,,,,
2019.04.01,96415,97840,92505,97005,37764526,134120205,5,,,,,,,,,,
2019.05.01,96355,98225,89625,97095,37831039,142413046,5,,,,,,,,,,
2019.06.01,97000,103545,95725,101390,30135812,113983794,5,,,,,,,,,,
2019.07.01,102810,107295,100380,102000,35124585,141424277,5,,,,,,,,,,
2019.08.01,102500,104930,95610,102225,46774244,171765858,5,,,,,,,,,,
2019.09.01,102140,106430,99900,105115,35753295,139444226,5,,,,,,,,,,
2019.10.01,105180,109130,99695,107605,40513822,159283388,5,,,,,,,,,,
2019.11.01,107955,110330,105625,108430,35326774,142520406,5,,,,,,,,,,
2019.12.01,108315,118570,108250,115770,29009197,130199816,5,,,,,,,,,,
2020.01.01,117070,120080,112910,113880,50191308,208918863,5,,,,,,,,,,
2020.02.01,114450,118420,100335,104915,49019789,197470586,5,,,,,,,,,,
2020.03.01,103860,109960,61450,71950,79514074,199150492,5,,,,,,,,,,
2020.04.01,69925,84240,67710,80100,76588485,223175445,5,,,,,,,,,,
2020.05.01,77350,88260,75680,87570,61514864,200730877,5,,,,,,,,,,
2020.06.01,87500,97975,86670,95100,66912489,222457385,5,,,,,,,,,,
2020.07.01,94420,105880,94390,103100,72557968,269741343,5,,,,,,,,,,
2020.08.01,103995,104670,98665,99730,74179773,260324156,5,,,,,,,,,,
2020.09.01,100450,103445,93140,95075,78798207,279079053,5,,,,,,,,,,
2020.10.01,95370,102480,93120,94535,75213135,290049148,5,,,,,,,,,,
2020.11.01,96090,111680,95135,109495,73843880,285782295,5,,,,,,,,,,
2020.12.01,110690,120380,110325,119175,65353977,267873152,5,,,,,,,,,,
2021.01.01,120270,125470,114710,115000,81591445,321444990,5,,,,,,,,,,
2021.02.01,116350,121195,109765,109800,85759030,330381348,5,,,,,,,,,,
2021.03.01,111350,117510,107330,114050,88716142,331043295,0,,,,,,,,,,
